"","Team","Wins","Draws","Losses","Points","GD","TGS","TGC","HGS","HGC","AGS","AGC"
"1","Arsenal",18,7,3,61,35,56,21,2.38461538461538,0.615384615384615,1.66666666666667,0.866666666666667
"2","Aston Villa",15,6,6,51,10,38,28,1.42857142857143,0.785714285714286,1.38461538461538,1.30769230769231
"3","Bournemouth",9,11,7,38,-2,43,45,1.53846153846154,1.07692307692308,1.64285714285714,2.21428571428571
"4","Brentford",12,4,11,40,3,40,37,1.71428571428571,1.07142857142857,1.23076923076923,1.69230769230769
"5","Brighton",8,10,9,34,2,36,34,1.53846153846154,1.07692307692308,1.14285714285714,1.42857142857143
"6","Burnley",4,7,16,19,-23,29,52,0.923076923076923,1.46153846153846,1.21428571428571,2.35714285714286
"7","Chelsea",12,9,6,45,17,48,31,1.64285714285714,1.14285714285714,1.92307692307692,1.15384615384615
"8","Crystal Palace",9,8,10,35,-3,29,32,1,1.28571428571429,1.15384615384615,1.07692307692308
"9","Everton",10,7,9,37,-1,29,30,1.23076923076923,1.38461538461538,1,0.923076923076923
"10","Fulham",11,4,12,37,-3,38,41,1.69230769230769,1.23076923076923,1.14285714285714,1.78571428571429
"11","Leeds",7,10,10,31,-9,37,46,1.69230769230769,1.38461538461538,1.07142857142857,2
"12","Liverpool",13,6,8,45,7,42,35,1.61538461538462,1.07692307692308,1.5,1.5
"13","Man City",17,5,5,56,31,56,25,2.42857142857143,0.642857142857143,1.69230769230769,1.23076923076923
"14","Man United",12,9,5,45,10,47,37,1.92307692307692,1.15384615384615,1.69230769230769,1.69230769230769
"15","Newcastle",10,6,11,36,-1,38,39,1.84615384615385,1.53846153846154,1,1.35714285714286
"16","Nott'm Forest",7,6,14,27,-14,25,39,0.928571428571429,1.35714285714286,0.923076923076923,1.53846153846154
"17","Sunderland",9,9,9,36,-5,28,33,1.57142857142857,0.928571428571429,0.461538461538462,1.53846153846154
"18","Tottenham",7,8,12,29,-4,37,41,1.21428571428571,1.57142857142857,1.53846153846154,1.46153846153846
"19","West Ham",6,7,14,25,-17,32,49,1.21428571428571,1.92857142857143,1.15384615384615,1.69230769230769
"20","Wolves",1,7,20,10,-33,18,51,0.928571428571429,2.14285714285714,0.357142857142857,1.5
